String	Ref. Ten. (lbs)	Swing Speed	Material	Gauge Nominal (mm)	Gauge Acutal (mm)	Stretch at 40 lbs (%)	Stretch at 51 lbs (%)	Stretch at 62 lbs (%)	Actual Pre-impact Tension (lbs)	Dwell Time (ms)	Deflection (mm)	Tension Change (lbs)	Peak Tension (lbs)	Peak Perp. Force (lbs)	Ave Perp. Force (lbs)	Stiffness (lb/in)	Static Loss lbs.	Stabilization Loss (lbs)	Impact Loss (lbs).	Total Loss (lbs)	Tension Loss (%)	Energy Return (%)	String/String COF	String/Ball COF	Spin Potential
Weiss Cannon Ultra Cable 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	26.90	36.7	33.8	49.2	76.1	32.1	14.7	174.9	3.66	20.16	0.37	24.3	47.7	82.8	0.065	0.774	11.9
Volkl V-Square 16 (1.30)	51	Fast	Polyester	1.3	1.26	7.3	7.6	3.3	26.68	36.4	33.1	51.6	78.3	32.4	14.8	190.9	6.84	17.20	0.24	24.3	47.9	83.7	0.069	0.781	11.3
Weiss Cannon Blue Rock N Power	51	Fast	Polyester	1.2	1.24	2.4	10.0	8.2	37.26	33.0	30.2	50.3	87.5	33.1	16.4	224.0	3.97	9.49	0.22	13.7	27	88.7	0.059	0.654	11.1
Babolat RPM Blast Rough 17	51	Fast	Polyester	1.25	1.19	1.5	2.1	4.5	32.96	34.4	32.0	49.2	82.2	32.9	15.7	196.0	5.23	12.53	0.33	18.1	35.7	86.1	0.057	0.564	9.9
Tecnifibre Black Code 4S 17 (1.25)	51	Fast	Polyester	1.25	NA	2.1	3.3	3.9	36.82	34.0	31.9	52.5	89.3	35.7	17.0	209.2	4.85	9.05	0.48	14.3	28.3	88.9	0.067	0.658	9.8
Toroline O-Toro 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	28.33	37.1	33.9	47.0	75.2	31.9	14.7	165.7	4.96	17.43	0.15	22.5	44.4	84.3	0.064	0.601	9.4
Diadem Elite XT 17	51	Fast	Polyester	1.2	1.26	2.4	7.6	2.7	34.79	34.8	32.1	47.8	82.7	33.1	15.6	189.2	3.90	12.03	0.17	16.1	31.7	89.3	0.075	0.695	9.3
Tecnifibre Black Code 4S 16 (1.30)	51	Fast	Polyester	1.3	1.33	2.7	3.9	6.1	38.04	32.9	30.2	54.7	92.6	35.0	16.7	242.9	3.75	8.93	0.27	13.0	25.5	89.5	0.073	0.674	9.2
Volkl Cyclone 18L (1.15)	51	Fast	Polyester	1.15	1.21	2.1	3.3	8.5	35.99	34.6	32.0	47.4	83.3	33.3	15.9	188.0	3.15	11.58	0.20	15.0	29.4	88.2	0.071	0.641	9
Volkl Cyclone Tour 16 (1.30)	51	Fast	Polyester	1.3	1.39	5.8	7.3	7.9	24.70	37.6	34.2	48.1	72.8	31.1	14.4	167.4	6.39	19.63	0.40	26.5	52.1	83.2	0.068	0.592	8.7
Diadem Elite XT 16	51	Fast	Polyester	1.3	1.32	5.2	6.7	3.3	30.38	35.1	32.1	52.0	82.5	33.1	15.4	204.6	6.68	13.66	0.15	20.5	40.4	85.9	0.075	0.654	8.7
Diadem Solstice Power 17 (1.20)	51	Fast	Polyester	1.2	NA	1.5	2.7	3.3	36.76	34.2	32.0	49.6	86.4	34.5	16.0	196.6	4.26	9.70	0.51	14.6	28.5	87.4	0.073	0.626	8.6
MSV Focus-Hex 16 (1.27)	51	Fast	Polyester	1.27		0.0	0.0	0.0	29.06	35.9	33.0	49.6	78.7	32.5	15.8	185.7	6.70	14.96	0.28	21.8	43.3	84.6	0.071	0.61	8.6
Weiss Cannon Red Ghost 17L (1.18)	51	Fast	Polyester	1.18	1.31	1.5	7.3	3.3	33.76	35.0	32.1	48.3	82.0	33.0	15.6	189.7	3.59	13.37	0.27	17.2	34	87.2	0.073	0.622	8.5
Volkl V-Torque Tour 16 (1.30)	51	Fast	Polyester	1.3	1.34	1.8	8.8	9.4	31.53	35.1	32.1	46.7	78.3	31.4	15.3	184.0	5.58	13.61	0.24	19.4	38.3	88.2	0.074	0.626	8.5
Pacific Poly Power Pro 16 (1.30)	51	Fast	Polyester	1.3	1.24	1.8	3.6	5.8	29.00	35.7	32.9	51.8	80.9	33.2	15.6	194.9	6.13	15.59	0.45	22.3	43.7	85.0	0.059	0.489	8.3
Luxilon ECO Power 17 (1.25)	51	Fast	Polyester	1.25	1.27	8.5	10.3	10.0	33.52	34.8	32.2	49.8	83.3	33.5	15.8	194.9	4.17	13.03	0.31	17.4	34.5	86.3	0.062	0.512	8.3
Volkl Cyclone 19 (1.10)	51	Fast	Polyester	1.1	NA	2.4	3.3	4.5	34.46	35.0	32.0	46.3	80.7	32.3	15.7	182.9	4.61	11.65	0.57	16.8	33.2	88.5	0.071	0.582	8.2
Babolat RPM Blast Rough 16	51	Fast	Polyester	1.3		0.0	0.0	0.0	36.05	33.6	31.0	49.6	85.8	33.2	16.4	209.7	3.84	10.83	0.28	15.0	29.5	90.1	0.07	0.577	8.2
Toroline O-Toro Spin 17 (1.23)	51	Fast	Polyester	1.23	1.32	3.9	3.3	7.6	31.53	35.9	33.0	46.3	77.8	32.1	14.8	173.2	3.77	15.42	0.26	19.4	38.3	85.4	0.084	0.687	8.2
Grapplesnake Tour M8 17 (1.25)	51	Fast	Polyester	1.25	1.26	2.4	2.4	3.9	33.63	34.1	31.9	52.7	86.2	34.4	15.7	210.3	5.62	11.47	0.33	17.4	34.3	87.0	0.066	0.544	8.2
Diadem Solstice Power 16 (1.30)	51	Fast	Polyester	1.3	NA	1.8	3.0	3.6	36.27	34.4	32.0	51.2	87.3	34.9	16.9	202.9	4.76	9.69	0.57	15.0	29.6	88.0	0.08	0.645	8.1
Solinco Revolution 16L (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	36.49	33.7	31.5	52.0	88.6	34.9	16.4	212.6	4.12	10.11	0.20	14.3	28.4	88.5	0.068	0.542	8
Prince Vortex 16 (1.30)	51	Fast	Polyester	1.3	1.41	1.2	4.2	9.4	21.30	37.4	34.0	53.4	74.7	31.7	13.8	188.0	7.59	21.83	0.24	29.5	58.5	80.6	0.069	0.549	8
Volkl Cyclone Tour 18 (1.20)	51	Fast	Polyester	1.2	1.31	2.7	4.8	3.9	25.25	37.8	34.5	46.5	71.9	31.0	14.3	159.4	6.33	19.14	0.55	26.0	51.3	84.6	0.073	0.572	7.8
Double AR Diablo (1.31)	51	Fast	Polyester	1.31	NA	2.4	4.8	7.0	23.28	38.0	34.1	48.5	71.9	30.7	13.8	169.7	7.81	19.63	0.79	28.2	55.7	81.0	0.08	0.615	7.7
Wilson Revolve 17 (1.25)	51	Fast	Polyester	1.25	NA	1.8	3.6	4.5	32.90	35.0	32.1	48.5	81.4	32.6	15.6	192.0	5.95	11.87	0.55	18.3	36.2	87.2	0.066	0.507	7.7
